,Te - AVG (oC),Time (Min),Tc - AVG (oC),Pressure (mm of Hg),Te - Tc (oC),Resistance (oC/W)
76,61.6,9.75,42.125,310.0,19.475,0.24343750000000003
77,62.333333333333336,11.5,36.5,335.0,25.833333333333336,0.3229166666666667
78,62.8,10.166666666666666,42.416666666666664,310.0,20.38333333333333,0.25479166666666664
79,63.333333333333336,12.0,37.5,335.0,25.833333333333336,0.3229166666666667
80,63.8,10.75,43.25,310.0,20.549999999999997,0.25687499999999996
81,64.0,11.5,40.375,322.5,23.625,0.2953125
82,64.8,10.5,44.25,335.0,20.549999999999997,0.25687499999999996
83,65.2,12.0,43.0,335.0,22.200000000000003,0.2775
84,65.33333333333333,13.0,39.0,360.0,26.33333333333333,0.3291666666666666
85,65.4,11.0,44.375,322.5,21.025000000000006,0.26281250000000006
86,65.66666666666667,13.5,40.25,360.0,25.41666666666667,0.31770833333333337
87,66.0,12.5,43.25,335.0,22.75,0.284375
88,66.6,11.5,44.5,322.5,22.099999999999994,0.2762499999999999
89,67.33333333333333,14.0,41.25,360.0,26.08333333333333,0.3260416666666666
90,67.4,12.5,44.75,360.0,22.650000000000006,0.28312500000000007
91,67.8,13.5,44.5,360.0,23.299999999999997,0.29124999999999995
92,68.0,14.5,39.75,360.0,28.25,0.353125
93,68.2,12.0,45.25,310.0,22.950000000000003,0.28687500000000005
94,68.33333333333333,15.0,43.25,385.0,25.08333333333333,0.3135416666666666
95,68.4,12.5,46.75,360.0,21.650000000000006,0.27062500000000006
96,68.8,12.5,45.5,335.0,23.299999999999997,0.29124999999999995
97,69.0,13.5,46.375,360.0,22.625,0.2828125
98,69.4,14.5,45.75,360.0,23.650000000000006,0.2956250000000001
99,70.0,14.5,46.125,378.75,23.875,0.2984375
100,70.4,15.0,46.5,360.0,23.900000000000006,0.29875000000000007
101,70.8,13.5,47.0,335.0,23.799999999999997,0.2975
102,71.0,15.25,48.0,397.5,23.0,0.2875
103,71.2,15.5,46.75,360.0,24.450000000000003,0.30562500000000004
104,71.6,14.5,48.5,360.0,23.099999999999994,0.28874999999999995
105,71.8,16.0,47.0,360.0,24.799999999999997,0.30999999999999994
106,72.0,15.5,49.125,410.0,22.875,0.28593749999999996
107,72.2,14.75,48.5,360.0,23.700000000000003,0.29625
108,72.4,16.5,47.0,360.0,25.400000000000006,0.31750000000000006
109,73.0,16.0,50.583333333333336,393.3333333333333,22.416666666666668,0.28020833333333334
110,73.66666666666667,18.25,55.5,460.0,18.16666666666667,0.2270833333333334
111,73.8,17.0,48.25,360.0,25.549999999999997,0.31937499999999996
112,74.0,16.833333333333332,52.0,393.3333333333333,22.0,0.27499999999999997
113,74.4,16.5,50.75,360.0,23.650000000000006,0.2956250000000001
114,74.6,17.5,48.75,360.0,25.849999999999994,0.32312499999999994
115,74.8,16.0,50.0,360.0,24.799999999999997,0.30999999999999994
116,75.2,17.0,50.75,385.0,24.450000000000003,0.30562500000000004
117,75.4,18.0,48.75,360.0,26.650000000000006,0.33312500000000006
118,75.6,17.0,50.875,372.5,24.724999999999994,0.3090624999999999
119,76.0,19.75,59.0,460.0,17.0,0.21250000000000002
120,76.33333333333333,20.5,61.5,510.0,14.833333333333329,0.18541666666666662
121,76.4,17.5,51.625,372.5,24.775000000000006,0.3096875000000001
122,76.6,18.5,49.75,360.0,26.849999999999994,0.33562499999999995
123,77.0,19.166666666666668,55.166666666666664,426.6666666666667,21.833333333333332,0.27291666666666664
124,77.2,18.75,52.25,385.0,24.950000000000003,0.311875
