,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG [KJ/mol]
179,29.5,359.95,337.65,14.166666666666671,0.7799355253299061,0.1770833333333334,-743.7988814982864,-697.7182729209512,-46.08060857733517
180,30.0,360.15,337.9,13.916666666666671,0.7799355253299061,0.17395833333333338,-744.21216049898,-698.2348716718182,-45.97728882716183
181,30.5,360.34999999999997,338.15,13.666666666666671,0.7799355253299061,0.1708333333333334,-744.6254394996735,-698.7514704226851,-45.873969076988374
182,31.0,360.54999999999995,338.4,13.75,0.7799355253299061,0.171875,-745.038718500367,-699.2680691735521,-45.77064932681492
183,31.5,360.54999999999995,337.65,14.166666666666671,0.7799355253299061,0.1770833333333334,-745.038718500367,-697.7182729209512,-47.32044557941583
184,32.0,360.95,337.9,14.583333333333329,0.7799355253299061,0.1822916666666666,-745.8652765017542,-698.2348716718182,-47.63040482993608
185,32.5,360.75,337.65,14.5,0.7799355253299061,0.18125,-745.4519975010608,-697.7182729209512,-47.73372458010954
186,33.0,361.15,337.65,15.166666666666671,0.8132661033354576,0.18958333333333338,-620.6283771782935,-580.2441410888849,-40.384236089408546
187,33.5,361.54999999999995,338.9,14.583333333333329,0.8132661033354576,0.1822916666666666,-621.3157684308791,-582.3922387532151,-38.923529677663964
188,34.0,360.75,341.4,12.75,0.8132661033354576,0.159375,-619.9409859257079,-586.6884340818756,-33.25255184383229
189,34.5,360.75,341.65,12.5,0.8465966813410092,0.15625,-499.4719610469334,-473.0272917302419,-26.44466931669149
190,35.0,361.15,341.9,12.583333333333329,0.8465966813410092,0.1572916666666666,-500.02577611115726,-473.3734261453819,-26.65234996577533
191,35.5,361.75,342.9,12.25,0.8465966813410092,0.153125,-500.8564987074932,-474.75796380594164,-26.098534901551545
192,36.0,361.34999999999997,343.4,11.083333333333329,0.8465966813410092,0.13854166666666662,-500.30268364326923,-475.45023263622153,-24.852451007047705
193,36.5,361.54999999999995,343.15,11.666666666666671,0.8465966813410092,0.1458333333333334,-500.5795911753811,-475.1040982210816,-25.47549295429951
194,37.0,361.54999999999995,343.15,12.0,0.8465966813410092,0.15,-500.5795911753811,-475.1040982210816,-25.47549295429951
195,37.5,361.54999999999995,342.9,12.25,0.8465966813410092,0.153125,-500.5795911753811,-474.75796380594164,-25.821627369439454
196,38.0,361.75,343.65,11.5,0.8465966813410092,0.14375,-500.8564987074932,-475.79636705136147,-25.060131656131716
197,38.5,361.75,342.65,12.833333333333329,0.8465966813410092,0.1604166666666666,-500.8564987074932,-474.4118293908017,-26.44466931669149
198,39.0,361.54999999999995,342.9,12.25,0.8465966813410092,0.153125,-500.5795911753811,-474.75796380594164,-25.821627369439454
199,39.5,361.75,344.15,11.0,0.8465966813410092,0.1375,-500.8564987074932,-476.4886358816413,-24.367862825851887
