,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG[KJ/mol],Fluid,FR
113,6.0,323.54999999999995,311.15,12.4,0.4132991672688391,0.1549999999999999,-2376.8351264971075,-2285.743315127724,-91.09181136938378,DI Water 60,60
114,6.5,325.35,311.4,13.950000000000005,0.4132991672688391,0.174375,-2390.058131373308,-2287.5798435827514,-102.4782877905568,DI Water 60,60
115,7.0,326.95,312.15,14.799999999999995,0.4466297452743906,0.1849999999999999,-2190.988289008531,-2091.8091280440826,-99.17916096444831,DI Water 60,60
116,7.5,328.35,312.9,15.450000000000005,0.4466297452743906,0.193125,-2200.370101532195,-2096.8350990389026,-103.53500249329228,DI Water 60,60
117,8.0,329.95,313.9,16.049999999999997,0.4799603232799422,0.2006249999999999,-2013.6541593302172,-1915.702502238992,-97.9516570912258,DI Water 60,60
118,8.5,331.35,314.65,16.700000000000003,0.4799603232799422,0.20875,-2022.1982291076451,-1920.2796824768996,-101.91854663074604,DI Water 60,60
119,9.0,332.95,315.65,17.299999999999997,0.4799603232799422,0.2162499999999999,-2031.9628802818488,-1926.3825894607764,-105.58029082107214,DI Water 60,60
120,9.5,334.15,316.15,18.0,0.4799603232799422,0.225,-2039.286368662501,-1929.434042952715,-109.85232570978631,DI Water 60,60
121,10.0,335.75,316.65,19.1,0.4799603232799422,0.23875,-2049.051019836704,-1932.485496444653,-116.56552339205086,DI Water 60,60
122,10.5,336.95,317.9,19.05,0.4799603232799422,0.2381249999999999,-2056.3745082173564,-1940.1141301745,-116.2603780428567,DI Water 60,60
123,11.0,338.15,318.15,20.0,0.5132909012854937,0.25,-1874.9439638117292,-1764.0497474100302,-110.89421640169915,DI Water 60,60
124,11.5,339.75,319.15,20.599999999999994,0.5132909012854937,0.2574999999999999,-1883.8155011238655,-1769.5944582301152,-114.22104289375056,DI Water 60,60
125,12.0,340.95,319.9,21.05,0.5466214792910453,0.2631249999999999,-1712.129956723146,-1606.4243236713137,-105.70563305183236,DI Water 60,60
126,12.5,341.54999999999995,320.15,21.40000000000001,0.5466214792910453,0.2675,-1715.1429438885186,-1607.6797349902188,-107.46320889829984,DI Water 60,60
127,13.0,342.75,320.4,22.349999999999994,0.5466214792910453,0.2793749999999999,-1721.1689182192647,-1608.935146309124,-112.2337719101406,DI Water 60,60
128,13.5,343.75,320.9,22.849999999999994,0.5799520572965968,0.2856249999999999,-1557.0324683657836,-1453.5322737413237,-103.50019462446016,DI Water 60,60
129,14.0,344.75,321.65,23.099999999999994,0.6132826353021483,0.2887499999999999,-1401.394569670867,-1307.4940198249003,-93.90054984596668,DI Water 60,60
130,14.5,345.95,321.9,24.05,0.6132826353021483,0.300625,-1406.272520312216,-1308.510259541848,-97.7622607703679,DI Water 60,60
131,15.0,346.54999999999995,322.15,24.40000000000001,0.6132826353021483,0.305,-1408.7114956328903,-1309.5264992587956,-99.18499637409468,DI Water 60,60
132,15.5,347.35,322.9,24.450000000000003,0.6132826353021483,0.305625,-1411.963462727123,-1312.5752184096389,-99.38824431748412,DI Water 60,60
133,16.0,347.75,323.4,24.349999999999994,0.6132826353021483,0.3043749999999999,-1413.5894462742394,-1314.6076978435342,-98.98174843070524,DI Water 60,60
134,16.5,348.95,323.9,25.05,0.6466132133076999,0.313125,-1264.9304976115727,-1174.1251989579837,-90.80529865358903,DI Water 60,60
135,17.0,349.54999999999995,324.4,25.15000000000001,0.6466132133076999,0.314375,-1267.105474824832,-1175.9376799690333,-91.16779485579876,DI Water 60,60
136,17.5,349.54999999999995,325.15,24.40000000000001,0.6799437913132514,0.305,-1121.036606398391,-1042.7837292817535,-78.25287711663759,DI Water 60,60
137,18.0,350.35,325.65,24.700000000000003,0.6799437913132514,0.30875,-1123.6022745005762,-1044.3872718456191,-79.21500265495706,DI Water 60,60
138,18.5,351.15,326.4,24.75,0.6799437913132514,0.309375,-1126.167942602761,-1046.7925856914171,-79.37535691134372,DI Water 60,60
139,19.0,348.15,328.9,19.25,0.6799437913132514,0.240625,-1116.546687219568,-1054.810298510745,-61.73638870882292,DI Water 60,60
140,19.5,350.15,328.65,21.5,0.713274369318803,0.26875,-983.6449402062192,-923.246921601525,-60.39801860469424,DI Water 60,60
141,20.0,351.54999999999995,328.15,23.40000000000001,0.713274369318803,0.2925000000000001,-987.5778344409435,-921.8423165176948,-65.73551792324872,DI Water 60,60
142,20.5,352.54999999999995,328.4,24.15000000000001,0.7466049473243546,0.301875,-856.5235676778191,-797.8509137013071,-58.67265397651192,DI Water 60,60
143,21.0,353.15,329.15,24.0,0.7466049473243546,0.3,-857.9812733666766,-799.6730458123789,-58.30822755429779,DI Water 60,60
144,21.5,353.75,329.4,24.349999999999994,0.7466049473243546,0.3043749999999999,-859.4389790555341,-800.2804231827362,-59.15855587279793,DI Water 60,60
145,22.0,354.35,330.15,24.200000000000003,0.7799355253299061,0.3025,-732.2270694788658,-682.2203103949416,-50.00675908392418,DI Water 60,60
146,22.5,355.15,330.4,24.75,0.7799355253299061,0.309375,-733.8801854816402,-682.7369091458087,-51.1432763358315,DI Water 60,60
147,23.0,355.35,330.9,24.450000000000003,0.8132661033354576,0.305625,-610.6612040158011,-568.6444137015015,-42.01679031429956,DI Water 60,60
148,23.5,356.15,331.65,24.5,0.8132661033354576,0.30625,-612.0359865209724,-569.9332723000998,-42.1027142208726,DI Water 60,60
149,24.0,356.35,331.65,24.700000000000003,0.8132661033354576,0.30875,-612.3796821472653,-569.9332723000998,-42.446409847165455,DI Water 60,60
150,24.5,356.35,332.15,24.200000000000003,0.8132661033354576,0.3025,-612.3796821472653,-570.7925113658318,-41.58717078143343,DI Water 60,60
151,25.0,357.15,332.9,24.25,0.8132661033354576,0.303125,-613.7544646524367,-572.08136996443,-41.6730946880067,DI Water 60,60
152,25.5,357.54999999999995,332.9,24.65000000000001,0.8132661033354576,0.3081250000000001,-614.4418559050223,-572.08136996443,-42.3604859405923,DI Water 60,60
153,26.0,357.54999999999995,333.15,24.40000000000001,0.8465966813410092,0.305,-495.0414405331421,-461.258721615484,-33.78271891765809,DI Water 60,60
154,26.5,357.95,333.65,24.3,0.8465966813410092,0.3037499999999999,-495.595255597366,-461.9509904457639,-33.64426515160216,DI Water 60,60
155,27.0,358.75,333.65,25.099999999999994,0.8799272593465607,0.3137499999999999,-381.5284412863826,-354.8347440702482,-26.69369721613441,DI Water 60,60
156,27.5,358.54999999999995,334.15,24.40000000000001,0.8799272593465607,0.305,-381.31574250378384,-355.36649102674494,-25.9492514770389,DI Water 60,60
157,28.0,358.95,334.15,24.8,0.8799272593465607,0.3099999999999999,-381.7411400689813,-355.36649102674494,-26.374649042236346,DI Water 60,60
