,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG[KJ/mol],Fluid,FR
226,53.0,362.55,345.4,11.083333333333329,0.8799272593465607,0.1385416666666666,-385.5697181557575,-367.3307975479207,-18.238920607836803,Al2O3 DI Water 60,60
227,53.5,362.95,345.65,11.166666666666671,0.9132578373521122,0.1395833333333334,-273.8050084710472,-260.7541016063299,-13.050906864717264,Al2O3 DI Water 60,60
228,54.0,362.95,346.65,10.166666666666671,0.9132578373521122,0.1270833333333333,-273.8050084710472,-261.5084892863714,-12.296519184675788,Al2O3 DI Water 60,60
229,54.5,362.75,347.15,9.333333333333329,0.9132578373521122,0.1166666666666666,-273.6541309350389,-261.8856831263921,-11.768447808646783,Al2O3 DI Water 60,60
230,55.0,363.15,346.65,10.166666666666671,0.9132578373521122,0.1270833333333333,-273.9558860070555,-261.5084892863714,-12.447396720684084,Al2O3 DI Water 60,60
231,55.5,363.15,346.4,10.416666666666671,0.9132578373521122,0.1302083333333334,-273.9558860070555,-261.31989236636105,-12.635993640694435,Al2O3 DI Water 60,60
232,56.0,362.95,345.65,10.5,0.9132578373521122,0.13125,-273.8050084710472,-260.7541016063299,-13.050906864717264,Al2O3 DI Water 60,60
233,56.5,362.75,345.65,10.5,0.9132578373521122,0.13125,-273.6541309350389,-260.7541016063299,-12.900029328708968,Al2O3 DI Water 60,60
234,57.0,361.75,346.65,10.833333333333329,0.9132578373521122,0.1354166666666666,-272.8997432549975,-261.5084892863714,-11.391253968626074,Al2O3 DI Water 60,60
235,57.5,362.35,347.15,9.666666666666671,0.9132578373521122,0.1208333333333333,-273.3523758630223,-261.8856831263921,-11.466692736630192,Al2O3 DI Water 60,60
236,58.0,362.15,346.9,9.583333333333329,0.9132578373521122,0.1197916666666666,-273.201498327014,-261.6970862063818,-11.504412120632196,Al2O3 DI Water 60,60
237,58.5,362.35,346.65,10.166666666666671,0.9132578373521122,0.1270833333333333,-273.3523758630223,-261.5084892863714,-11.843886576650902,Al2O3 DI Water 60,60
238,59.0,362.55,346.65,10.166666666666671,0.9132578373521122,0.1270833333333333,-273.5032533990306,-261.5084892863714,-11.994764112659198,Al2O3 DI Water 60,60
