,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
321,00:26:45,333.4,313.65,19.75,0.5132909012854937,40,0.49375,90,0,1,-1848.6065874163262,-1739.098548719648,-109.50803869667811
322,00:26:50,333.4,313.65,19.75,0.5132909012854937,40,0.49375,90,0,1,-1848.6065874163262,-1739.098548719648,-109.50803869667811
323,00:26:55,333.4,313.65,19.75,0.5132909012854937,40,0.49375,90,0,1,-1848.6065874163262,-1739.098548719648,-109.50803869667811
324,00:27:00,333.15,313.65,19.5,0.5132909012854937,40,0.4875,90,0,1,-1847.220409711305,-1739.098548719648,-108.12186099165683
325,00:27:05,333.15,313.65,19.5,0.5132909012854937,40,0.4875,90,0,1,-1847.220409711305,-1739.098548719648,-108.12186099165683
326,00:27:10,333.15,313.65,19.5,0.5132909012854937,40,0.4875,90,0,1,-1847.220409711305,-1739.098548719648,-108.12186099165683
327,00:27:15,333.15,313.9,19.25,0.5132909012854937,40,0.48125,90,0,1,-1847.220409711305,-1740.4847264246694,-106.73568328663555
328,00:27:20,333.4,313.65,19.75,0.5132909012854937,40,0.49375,90,0,1,-1848.6065874163262,-1739.098548719648,-109.50803869667811
329,00:27:25,333.4,313.65,19.75,0.5132909012854937,40,0.49375,90,0,1,-1848.6065874163262,-1739.098548719648,-109.50803869667811
330,00:27:30,333.15,313.65,19.5,0.5132909012854937,40,0.4875,90,0,1,-1847.220409711305,-1739.098548719648,-108.12186099165683
331,00:27:35,333.65,313.65,20.0,0.5132909012854937,40,0.5,90,0,1,-1849.992765121347,-1739.098548719648,-110.89421640169894
332,00:27:40,333.65,313.65,20.0,0.5132909012854937,40,0.5,90,0,1,-1849.992765121347,-1739.098548719648,-110.89421640169894
333,00:27:45,333.65,313.9,19.75,0.5132909012854937,40,0.49375,90,0,1,-1849.992765121347,-1740.4847264246694,-109.50803869667766
334,00:27:50,333.4,313.65,19.75,0.5132909012854937,40,0.49375,90,0,1,-1848.6065874163262,-1739.098548719648,-109.50803869667811
335,00:27:55,333.15,313.65,19.5,0.5132909012854937,40,0.4875,90,0,1,-1847.220409711305,-1739.098548719648,-108.12186099165683
336,00:28:00,333.15,313.9,19.25,0.5132909012854937,40,0.48125,90,0,1,-1847.220409711305,-1740.4847264246694,-106.73568328663555
337,00:28:05,333.15,313.9,19.25,0.5132909012854937,40,0.48125,90,0,1,-1847.220409711305,-1740.4847264246694,-106.73568328663555
338,00:28:10,333.4,313.65,19.75,0.5132909012854937,40,0.49375,90,0,1,-1848.6065874163262,-1739.098548719648,-109.50803869667811
339,00:28:15,333.15,313.9,19.25,0.5132909012854937,40,0.48125,90,0,1,-1847.220409711305,-1740.4847264246694,-106.73568328663555
340,00:28:20,333.4,313.9,19.5,0.5132909012854937,40,0.4875,90,0,1,-1848.6065874163262,-1740.4847264246694,-108.12186099165683
341,00:28:25,333.15,313.9,19.25,0.5132909012854937,40,0.48125,90,0,1,-1847.220409711305,-1740.4847264246694,-106.73568328663555
342,00:28:30,333.4,313.9,19.5,0.5132909012854937,40,0.4875,90,0,1,-1848.6065874163262,-1740.4847264246694,-108.12186099165683
343,00:28:35,333.65,313.9,19.75,0.5132909012854937,40,0.49375,90,0,1,-1849.992765121347,-1740.4847264246694,-109.50803869667766
344,00:28:40,334.15,313.9,20.25,0.5132909012854937,40,0.50625,90,0,1,-1852.7651205313896,-1740.4847264246694,-112.28039410672022
345,00:28:45,333.9,313.9,20.0,0.5132909012854937,40,0.5,90,0,1,-1851.3789428263683,-1740.4847264246694,-110.89421640169894
