,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
65,32.5,366.82,332.9,33.92,1.6998594782831287,0.423958,1618.0268861818622,1468.4072580828251,149.61962809903707
66,33.0,366.82,332.9,33.92,1.6998594782831287,0.423958,1618.0268861818622,1468.4072580828251,149.61962809903707
67,33.5,366.82,332.9,33.92,1.6998594782831287,0.423958,1618.0268861818622,1468.4072580828251,149.61962809903707
68,34.0,367.82,333.9,33.92,1.7491887337313448,0.423958,1709.918142713604,1552.231167016672,157.686975696932
69,34.5,368.15,334.9,33.25,1.7491887337313448,0.415625,1711.452243597448,1556.8799575737753,154.57228602367263
70,35.0,368.47999999999996,335.15,33.33,1.7491887337313448,0.416667,1712.986344481292,1558.0421552130508,154.9441892682412
71,35.5,368.15,335.15,33.0,1.7491887337313448,0.4125,1711.452243597448,1558.0421552130508,153.4100883843971
72,36.0,367.82,335.65,32.17,1.7491887337313448,0.402083,1709.918142713604,1560.3665504916023,149.55159222200177
73,36.5,367.82,335.9,31.92,1.7491887337313448,0.398958,1709.918142713604,1561.528748130878,148.38939458272603
74,37.0,368.47999999999996,335.9,32.58,1.7491887337313448,0.407292,1712.986344481292,1561.528748130878,151.45759635041395
75,37.5,368.82,336.15,32.67,1.7491887337313448,0.408333,1714.566933270707,1562.6909457701538,151.87598750055326
76,38.0,368.15,336.4,31.75,1.7491887337313448,0.396875,1711.452243597448,1563.8531434094298,147.59910018801816
77,38.5,368.15,336.4,31.75,1.7491887337313448,0.396875,1711.452243597448,1563.8531434094298,147.59910018801816
78,39.0,369.15,336.4,32.75,1.7491887337313448,0.409375,1716.1010341545511,1563.8531434094298,152.24789074512137
79,39.5,368.82,336.9,31.92,1.797184766059339,0.398958,1797.571475998344,1641.9983467920451,155.57312920629897
80,40.0,368.82,337.15,31.67,1.797184766059339,0.395833,1797.571475998344,1643.216808017032,154.3546679813121
81,40.5,369.82,338.15,31.67,1.797184766059339,0.395833,1802.445320898291,1648.0906529169786,154.35466798131233
82,41.0,369.15,337.65,31.5,1.797184766059339,0.39375,1799.1798448153268,1645.6537304670053,153.52611434832147
83,41.5,368.82,337.9,30.92,1.797184766059339,0.386458,1797.571475998344,1646.8721916919922,150.69928430635196
84,42.0,369.82,338.4,31.42,1.797184766059339,0.392708,1802.445320898291,1649.3091141419652,153.1362067563257
85,42.5,368.82,337.4,31.42,1.797184766059339,0.392708,1797.571475998344,1644.4352692420186,153.13620675632546
86,43.0,369.15,337.4,31.75,1.797184766059339,0.396875,1799.1798448153268,1644.4352692420186,154.7445755733081
87,43.5,369.82,337.9,31.92,1.797184766059339,0.398958,1802.445320898291,1646.8721916919922,155.57312920629874
88,44.0,369.15,337.4,31.75,1.797184766059339,0.396875,1799.1798448153268,1644.4352692420186,154.7445755733081
