,t(min),Te[C],Tc[C],P[mmHg],Q[W],alpha,beta,phase
330,00:27:30,74.2,51.75,535,60,90,0,1
331,00:27:35,74.2,51.75,535,60,90,0,1
332,00:27:40,73.6,51.75,535,60,90,0,1
333,00:27:45,73.6,51.75,535,60,90,0,1
334,00:27:50,73.6,51.75,535,60,90,0,1
335,00:27:55,73.8,51.75,535,60,90,0,1
336,00:28:00,74.4,51.75,535,60,90,0,1
337,00:28:05,74.4,51.75,535,60,90,0,1
338,00:28:10,74.6,51.75,535,60,90,0,1
339,00:28:15,74.4,51.75,535,60,90,0,1
340,00:28:20,74.6,51.75,535,60,90,0,1
341,00:28:25,74.4,51.75,535,60,90,0,1
342,00:28:30,74.4,51.75,535,60,90,0,1
343,00:28:35,74.4,52.25,535,60,90,0,1
344,00:28:40,74.2,52.25,535,60,90,0,1
345,00:28:45,74.2,52.25,560,60,90,0,1
346,00:28:50,74.0,52.25,560,60,90,0,1
347,00:28:55,74.2,52.25,560,60,90,0,1
348,00:29:00,74.2,52.5,560,60,90,0,1
349,00:29:05,74.2,52.5,560,60,90,0,1
350,00:29:10,74.6,52.5,560,60,90,0,1
351,00:29:15,74.6,52.5,560,60,90,0,1
352,00:29:20,74.0,52.5,560,60,90,0,1
353,00:29:25,74.2,52.25,560,60,90,0,1
354,00:29:30,74.2,52.75,560,60,90,0,1
355,00:29:35,74.4,52.5,560,60,90,0,1
356,00:29:40,74.6,52.25,560,60,90,0,1
357,00:29:45,74.8,52.25,560,60,90,0,1
358,00:29:50,75.0,52.5,560,60,90,0,1
359,00:29:55,75.0,52.5,560,60,90,0,1
360,00:30:00,75.2,52.5,560,60,90,0,1
361,00:30:05,75.2,52.5,560,60,90,0,1
362,00:30:10,75.2,53.0,560,60,90,0,1
363,00:30:15,75.0,53.5,560,60,90,0,1
364,00:30:20,75.4,53.5,560,60,90,0,1
365,00:30:25,75.2,53.5,560,60,90,0,1
366,00:30:30,75.0,53.0,560,60,90,0,1
367,00:30:35,75.2,53.5,560,60,90,0,1
368,00:30:40,75.2,53.5,560,60,90,0,1
369,00:30:45,75.4,53.5,560,60,90,0,1
370,00:30:50,75.4,53.25,560,60,90,0,1
371,00:30:55,74.6,52.5,560,60,90,0,1
372,00:31:00,75.6,53.5,560,60,90,0,1
373,00:31:05,75.6,53.5,560,60,90,0,1
374,00:31:10,75.6,53.5,560,60,90,0,1
375,00:31:15,76.0,53.5,560,60,90,0,1
376,00:31:20,76.0,53.5,560,60,90,0,1
377,00:31:25,76.0,53.5,560,60,90,0,1
378,00:31:30,76.0,53.25,560,60,90,0,1
379,00:31:35,76.0,53.25,560,60,90,0,1
380,00:31:40,75.8,53.25,560,60,90,0,1
381,00:31:45,76.0,53.25,560,60,90,0,1
382,00:31:50,75.8,52.75,560,60,90,0,1
383,00:31:55,76.0,53.25,560,60,90,0,1
384,00:32:00,76.0,53.25,560,60,90,0,1
385,00:32:05,76.4,53.25,560,60,90,0,1
386,00:32:10,76.6,53.5,560,60,90,0,1
387,00:32:15,76.4,53.5,560,60,90,0,1
388,00:32:20,76.2,53.5,560,60,90,0,1
389,00:32:25,76.2,53.5,560,60,90,0,1
