,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
66,00:05:30,317.54999999999995,310.15,7.399999999999999,0.4132991672688391,60,0.12333333333333331,90,0,1,-2332.758443576438,-2278.397201307612,-54.36124226882612
67,00:05:35,317.95,310.15,7.799999999999997,0.4132991672688391,60,0.12999999999999995,90,0,1,-2335.6968891044826,-2278.397201307612,-57.299687796870785
68,00:05:40,318.15,310.15,8.0,0.4132991672688391,60,0.13333333333333333,90,0,1,-2337.1661118685047,-2278.397201307612,-58.76891056089289
69,00:05:45,318.34999999999997,310.15,8.200000000000003,0.4132991672688391,60,0.13666666666666671,90,0,1,-2338.635334632527,-2278.397201307612,-60.238133324915
70,00:05:50,318.75,310.4,8.350000000000001,0.4132991672688391,60,0.1391666666666667,90,0,1,-2341.573780160572,-2280.23372976264,-61.34005039793192
71,00:05:55,318.54999999999995,310.4,8.149999999999999,0.4132991672688391,60,0.1358333333333333,90,0,1,-2340.1045573965494,-2280.23372976264,-59.87082763390936
72,00:06:00,318.75,310.4,8.350000000000001,0.4132991672688391,60,0.1391666666666667,90,0,1,-2341.573780160572,-2280.23372976264,-61.34005039793192
73,00:06:05,319.34999999999997,310.4,8.950000000000003,0.4132991672688391,60,0.14916666666666673,90,0,1,-2345.9814484526387,-2280.23372976264,-65.74771868999869
74,00:06:10,319.34999999999997,310.65,8.700000000000003,0.4132991672688391,60,0.14500000000000005,90,0,1,-2345.9814484526387,-2282.0702582176677,-63.911190234970945
75,00:06:15,319.75,310.9,8.850000000000001,0.4132991672688391,60,0.14750000000000002,90,0,1,-2348.9198939806834,-2283.906786672696,-65.01310730798741
76,00:06:20,320.15,311.15,9.0,0.4132991672688391,60,0.15,90,0,1,-2351.8583395087276,-2285.7433151277237,-66.11502438100388
77,00:06:25,319.95,311.15,8.799999999999997,0.4132991672688391,60,0.1466666666666666,90,0,1,-2350.389116744706,-2285.7433151277237,-64.64580161698223
78,00:06:30,320.15,311.15,9.0,0.4132991672688391,60,0.15,90,0,1,-2351.8583395087276,-2285.7433151277237,-66.11502438100388
79,00:06:35,320.34999999999997,311.15,9.200000000000003,0.4132991672688391,60,0.15333333333333338,90,0,1,-2353.32756227275,-2285.7433151277237,-67.58424714502644
80,00:06:40,320.34999999999997,311.15,9.200000000000003,0.4132991672688391,60,0.15333333333333338,90,0,1,-2353.32756227275,-2285.7433151277237,-67.58424714502644
81,00:06:45,320.54999999999995,311.4,9.149999999999999,0.4132991672688391,60,0.15249999999999997,90,0,1,-2354.7967850367727,-2287.5798435827514,-67.21694145402125
82,00:06:50,321.34999999999997,311.4,9.950000000000003,0.4132991672688391,60,0.1658333333333334,90,0,1,-2360.6736760928616,-2287.5798435827514,-73.09383251011013
83,00:06:55,321.34999999999997,311.4,9.950000000000003,0.4132991672688391,60,0.1658333333333334,90,0,1,-2360.6736760928616,-2287.5798435827514,-73.09383251011013
84,00:07:00,321.34999999999997,311.65,9.700000000000003,0.4132991672688391,60,0.1616666666666667,90,0,1,-2360.6736760928616,-2289.416372037779,-71.25730405508239
85,00:07:05,321.54999999999995,311.65,9.899999999999999,0.4132991672688391,60,0.16499999999999998,90,0,1,-2362.142898856884,-2289.416372037779,-72.72652681910495
86,00:07:10,321.54999999999995,311.9,9.649999999999999,0.4132991672688391,60,0.1608333333333333,90,0,1,-2362.142898856884,-2291.2529004928074,-70.88999836407675
87,00:07:15,321.75,311.9,9.850000000000001,0.4132991672688391,60,0.16416666666666668,90,0,1,-2363.6121216209067,-2291.2529004928074,-72.3592211280993
88,00:07:20,322.34999999999997,311.9,10.450000000000003,0.4132991672688391,60,0.17416666666666672,90,0,1,-2368.0197899129735,-2291.2529004928074,-76.76688942016608
89,00:07:25,322.15,311.9,10.25,0.4132991672688391,60,0.17083333333333334,90,0,1,-2366.550567148951,-2291.2529004928074,-75.29766665614352
90,00:07:30,322.54999999999995,312.15,10.399999999999999,0.4132991672688391,60,0.1733333333333333,90,0,1,-2369.4890126769956,-2293.089428947835,-76.39958372916044
91,00:07:35,322.54999999999995,312.15,10.399999999999999,0.4132991672688391,60,0.1733333333333333,90,0,1,-2369.4890126769956,-2293.089428947835,-76.39958372916044
92,00:07:40,322.75,312.4,10.350000000000001,0.4132991672688391,60,0.17250000000000001,90,0,1,-2370.958235441018,-2294.9259574028633,-76.0322780381548
93,00:07:45,322.95,312.4,10.549999999999997,0.4132991672688391,60,0.17583333333333329,90,0,1,-2372.4274582050407,-2294.9259574028633,-77.50150080217736
94,00:07:50,323.15,312.4,10.75,0.4132991672688391,60,0.17916666666666667,90,0,1,-2373.8966809690623,-2294.9259574028633,-78.97072356619901
95,00:07:55,323.34999999999997,312.4,10.950000000000003,0.4132991672688391,60,0.18250000000000005,90,0,1,-2375.365903733085,-2294.9259574028633,-80.43994633022157
96,00:08:00,323.54999999999995,312.65,10.899999999999999,0.4132991672688391,60,0.18166666666666664,90,0,1,-2376.8351264971075,-2296.762485857891,-80.07264063921639
97,00:08:05,323.75,312.65,11.100000000000001,0.4132991672688391,60,0.18500000000000003,90,0,1,-2378.3043492611296,-2296.762485857891,-81.5418634032385
98,00:08:10,324.15,312.65,11.5,0.4132991672688391,60,0.19166666666666668,90,0,1,-2381.2427947891742,-2296.762485857891,-84.48030893128316
99,00:08:15,323.95,312.65,11.299999999999997,0.4132991672688391,60,0.1883333333333333,90,0,1,-2379.773572025152,-2296.762485857891,-83.01108616726106
100,00:08:20,324.15,312.9,11.25,0.44662974527439064,60,0.1875,90,0,1,-2172.2246639612026,-2096.8350990389026,-75.3895649223
101,00:08:25,324.34999999999997,312.9,11.450000000000003,0.44662974527439064,60,0.19083333333333338,90,0,1,-2173.5649228931543,-2096.8350990389026,-76.72982385425166
102,00:08:30,324.54999999999995,313.15,11.399999999999999,0.44662974527439064,60,0.18999999999999997,90,0,1,-2174.9051818251064,-2098.510422703843,-76.39475912126363
103,00:08:35,324.95,313.4,11.549999999999997,0.44662974527439064,60,0.19249999999999995,90,0,1,-2177.5856996890107,-2100.185746368783,-77.39995332022772
104,00:08:40,325.15,313.65,11.5,0.44662974527439064,60,0.19166666666666668,90,0,1,-2178.925958620963,-2101.8610700337226,-77.06488858724015
105,00:08:45,324.95,313.65,11.299999999999997,0.44662974527439064,60,0.1883333333333333,90,0,1,-2177.5856996890107,-2101.8610700337226,-75.72462965528803
106,00:08:50,325.34999999999997,313.65,11.700000000000003,0.44662974527439064,60,0.19500000000000003,90,0,1,-2180.266217552915,-2101.8610700337226,-78.40514751919227
107,00:08:55,325.75,313.65,12.100000000000001,0.44662974527439064,60,0.2016666666666667,90,0,1,-2182.9467354168187,-2101.8610700337226,-81.08566538309606
108,00:09:00,325.75,313.65,12.100000000000001,0.44662974527439064,60,0.2016666666666667,90,0,1,-2182.9467354168187,-2101.8610700337226,-81.08566538309606
109,00:09:05,325.95,313.65,12.299999999999997,0.44662974527439064,60,0.20499999999999996,90,0,1,-2184.286994348771,-2101.8610700337226,-82.42592431504818
110,00:09:10,326.15,313.65,12.5,0.44662974527439064,60,0.20833333333333334,90,0,1,-2185.6272532807225,-2101.8610700337226,-83.76618324699984
111,00:09:15,326.34999999999997,313.65,12.700000000000003,0.44662974527439064,60,0.21166666666666673,90,0,1,-2186.9675122126746,-2101.8610700337226,-85.10644217895197
112,00:09:20,326.54999999999995,314.15,12.399999999999999,0.44662974527439064,60,0.20666666666666664,90,0,1,-2188.3077711446267,-2105.211717363603,-83.09605378102378
113,00:09:25,326.75,314.15,12.600000000000001,0.44662974527439064,60,0.21000000000000002,90,0,1,-2189.648030076579,-2105.211717363603,-84.4363127129759
114,00:09:30,327.15,314.15,13.0,0.44662974527439064,60,0.21666666666666667,90,0,1,-2192.3285479404826,-2105.211717363603,-87.11683057687969
115,00:09:35,327.15,314.15,13.0,0.44662974527439064,60,0.21666666666666667,90,0,1,-2192.3285479404826,-2105.211717363603,-87.11683057687969
116,00:09:40,327.15,314.4,12.75,0.44662974527439064,60,0.2125,90,0,1,-2192.3285479404826,-2106.8870410285426,-85.44150691194
117,00:09:45,327.15,314.4,12.75,0.44662974527439064,60,0.2125,90,0,1,-2192.3285479404826,-2106.8870410285426,-85.44150691194
118,00:09:50,327.34999999999997,314.65,12.700000000000003,0.44662974527439064,60,0.21166666666666673,90,0,1,-2193.6688068724343,-2108.562364693483,-85.10644217895151
119,00:09:55,327.54999999999995,314.65,12.899999999999999,0.44662974527439064,60,0.21499999999999997,90,0,1,-2195.0090658043864,-2108.562364693483,-86.44670111090363
120,00:10:00,327.95,314.65,13.299999999999997,0.44662974527439064,60,0.22166666666666662,90,0,1,-2197.6895836682907,-2108.562364693483,-89.12721897480787
121,00:10:05,327.95,314.65,13.299999999999997,0.4799603232799422,60,0.22166666666666662,90,0,1,-2001.4483453624634,-1920.2796824768993,-81.16866288556412
122,00:10:10,328.15,314.65,13.5,0.4799603232799422,60,0.225,90,0,1,-2002.6689267592387,-1920.2796824768993,-82.3892442823394
123,00:10:15,328.15,314.65,13.5,0.4799603232799422,60,0.225,90,0,1,-2002.6689267592387,-1920.2796824768993,-82.3892442823394
124,00:10:20,328.34999999999997,314.9,13.450000000000003,0.4799603232799422,60,0.2241666666666667,90,0,1,-2003.8895081560142,-1921.8054092228685,-82.0840989331457
125,00:10:25,328.54999999999995,315.15,13.399999999999999,0.4799603232799422,60,0.2233333333333333,90,0,1,-2005.1100895527893,-1923.3311359688378,-81.77895358395153
126,00:10:30,328.75,315.15,13.600000000000001,0.4799603232799422,60,0.22666666666666668,90,0,1,-2006.3306709495653,-1923.3311359688378,-82.9995349807275
127,00:10:35,328.75,315.4,13.350000000000001,0.4799603232799422,60,0.22250000000000003,90,0,1,-2006.3306709495653,-1924.8568627148072,-81.47380823475805
128,00:10:40,328.75,315.4,13.350000000000001,0.4799603232799422,60,0.22250000000000003,90,0,1,-2006.3306709495653,-1924.8568627148072,-81.47380823475805
129,00:10:45,328.95,315.4,13.549999999999997,0.4799603232799422,60,0.22583333333333327,90,0,1,-2007.5512523463406,-1924.8568627148072,-82.69438963153334
130,00:10:50,328.34999999999997,314.4,13.950000000000003,0.4799603232799422,60,0.23250000000000004,90,0,1,-2003.8895081560142,-1918.7539557309299,-85.13555242508437
131,00:10:55,328.54999999999995,314.4,14.149999999999999,0.4799603232799422,60,0.2358333333333333,90,0,1,-2005.1100895527893,-1918.7539557309299,-86.35613382185943
132,00:11:00,328.75,314.65,14.100000000000001,0.4799603232799422,60,0.23500000000000001,90,0,1,-2006.3306709495653,-1920.2796824768993,-86.05098847266595
133,00:11:05,328.75,314.65,14.100000000000001,0.4799603232799422,60,0.23500000000000001,90,0,1,-2006.3306709495653,-1920.2796824768993,-86.05098847266595
134,00:11:10,329.95,315.65,14.299999999999997,0.4799603232799422,60,0.23833333333333329,90,0,1,-2013.6541593302175,-1926.3825894607764,-87.27156986944101
135,00:11:15,329.95,315.65,14.299999999999997,0.4799603232799422,60,0.23833333333333329,90,0,1,-2013.6541593302175,-1926.3825894607764,-87.27156986944101
136,00:11:20,329.95,315.65,14.299999999999997,0.4799603232799422,60,0.23833333333333329,90,0,1,-2013.6541593302175,-1926.3825894607764,-87.27156986944101
137,00:11:25,330.34999999999997,315.9,14.450000000000003,0.4799603232799422,60,0.24083333333333337,90,0,1,-2016.095322123768,-1927.9083162067454,-88.18700591702259
138,00:11:30,330.34999999999997,315.9,14.450000000000003,0.4799603232799422,60,0.24083333333333337,90,0,1,-2016.095322123768,-1927.9083162067454,-88.18700591702259
139,00:11:35,329.75,314.9,14.850000000000001,0.4799603232799422,60,0.24750000000000003,90,0,1,-2012.4335779334422,-1921.8054092228685,-90.62816871057362
140,00:11:40,329.75,316.15,13.600000000000001,0.4799603232799422,60,0.22666666666666668,90,0,1,-2012.4335779334422,-1929.4340429527147,-82.9995349807275
141,00:11:45,330.95,316.4,14.549999999999997,0.4799603232799422,60,0.24249999999999997,90,0,1,-2019.7570663140943,-1930.959769698684,-88.79729661541023
142,00:11:50,331.15,316.4,14.75,0.4799603232799422,60,0.24583333333333332,90,0,1,-2020.9776477108699,-1930.959769698684,-90.01787801218575
143,00:11:55,331.54999999999995,316.4,15.149999999999999,0.4799603232799422,60,0.2525,90,0,1,-2023.4188105044204,-1930.959769698684,-92.45904080573632
144,00:12:00,331.54999999999995,316.4,15.149999999999999,0.4799603232799422,60,0.2525,90,0,1,-2023.4188105044204,-1930.959769698684,-92.45904080573632
145,00:12:05,331.75,316.4,15.350000000000001,0.4799603232799422,60,0.25583333333333336,90,0,1,-2024.6393919011962,-1930.959769698684,-93.67962220251206
146,00:12:10,331.75,316.4,15.350000000000001,0.4799603232799422,60,0.25583333333333336,90,0,1,-2024.6393919011962,-1930.959769698684,-93.67962220251206
147,00:12:15,331.75,316.4,15.350000000000001,0.4799603232799422,60,0.25583333333333336,90,0,1,-2024.6393919011962,-1930.959769698684,-93.67962220251206
148,00:12:20,331.34999999999997,315.9,15.450000000000003,0.4799603232799422,60,0.25750000000000006,90,0,1,-2022.1982291076454,-1927.9083162067454,-94.28991290089994
149,00:12:25,332.34999999999997,316.9,15.450000000000003,0.4799603232799422,60,0.25750000000000006,90,0,1,-2028.3011360915223,-1934.0112231906228,-94.28991290089948
150,00:12:30,332.34999999999997,316.9,15.450000000000003,0.5132909012854937,60,0.25750000000000006,90,0,1,-1842.7846410552368,-1757.1188588849243,-85.66578217031247
151,00:12:35,331.34999999999997,316.15,15.200000000000003,0.5132909012854937,60,0.25333333333333335,90,0,1,-1837.2399302351519,-1752.9603257698604,-84.27960446529141
152,00:12:40,332.75,317.15,15.600000000000001,0.5132909012854937,60,0.26,90,0,1,-1845.0025253832707,-1758.5050365899451,-86.4974887933256
153,00:12:45,332.54999999999995,317.15,15.399999999999999,0.5132909012854937,60,0.25666666666666665,90,0,1,-1843.8935832192537,-1758.5050365899451,-85.38854662930862
154,00:12:50,332.15,316.15,16.0,0.5132909012854937,60,0.26666666666666666,90,0,1,-1841.6756988912196,-1752.9603257698604,-88.71537312135911
155,00:12:55,332.34999999999997,317.15,15.200000000000003,0.5132909012854937,60,0.25333333333333335,90,0,1,-1842.7846410552368,-1758.5050365899451,-84.27960446529164
